company,founder,dateFounded,description,ugArea,ug,gArea,g,disciplines,degreeYear,exit,exitDetails,category,skyDeck
MightyHive,Lexi Viripaeff,2012,is a data-driven online marketing platform.,Engineering,Computer Science,none,none,"BA, Computer Science",,not yet,,Advertising,
Mile High Organics,Steve Markowitz,2010,"a rapidly growing online retailer serving Colorado's Front Range with home and office delivery of premium organic, non-genetically modified products.",Arts & Humanities,East Asian Languages,business,Business Administration,"BA, East Asian Languages (Japanese) (1992); MBA (1996)",1996,not yet,,eCommerce,
Mind Pirate,Harold Sun,2012,builds awesome mobile games and cutting-edge game technology that seamlessly combine our real and virtual worlds.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (1992)",1992,not yet,,Games/Entertainment,
Mind Pirate,Michael Fu,2012,builds awesome mobile games and cutting-edge game technology that seamlessly combine our real and virtual worlds.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (1992)",1992,not yet,,Games/Entertainment,
MobileWorks,Anand Kulkarni,2011,"is a crowdsourcing platform for businesses and developers that is more accurate, faster and easier to use than existing solutions. Whether doing complex web research, tagging images or converting physical paper documents into digital files, MobileWorks lets you automate jobs that cannot easily be done using computers.",Math & Physical Sciences,Mathematics,engineering,Industrial Engineering and Operations Research,"BA, Mathematics / Physics (2005); MS, IEOR / Computer Science (2009); PhD, IEOR (2011)",2011,not yet,,Enterprise,
Montipay,Andrew Tso,2013," (a.k.a Adknowledge) is a digital marketing company that works with brands, agencies and publishers.",Engineering,Computer Science,none,none,"BS, Computer Science (1996)",1996,not yet,,Enterprise,
Munch On Me,Jason Wang,2011,is a food discovery portal that connects people with great food at great prices in local communities.,Business,Business Administration,none,none,"BS, Business Administration (2009)",2009,yes,Acquired by CollegeBudget in 2012,Consumer Web,
Munchery,Conrad Chu,2011,"is reinventing the weeknight dinner, and making it ridiculously easy to put a delicious, healthy meal on the table.",Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2000)",2000,not yet,,Hospitality/Food,
MyFitnessPal,Albert Lee,2005,makes good health attainable and sustainable for everyone.,Social Sciences,Economics,business,Business Administration,"BA, Economics (1995); MBA (2004)",2004,not yet,,Health/Fitness,
Piggybackr,Andrea Lo,2011,"is an online fundraising website that teaches young people how to raise money for their teams, schools, and communities while helping them develop key 21st century skills.",Business,Business Administration,none,none,"BS, Business Administration",,not yet,,Charity/Nonprofit,
Piggybackr,Keenahn Jung,2011,"is an online fundraising website that teaches young people how to raise money for their teams, schools, and communities while helping them develop key 21st century skills.",Engineering,Computer Science,none,none,"BA, Cognitive Science; BS, Computer Science (2007)",2007,not yet,,Charity/Nonprofit,
Mytrus,Anthony Costello,2009,is a San Francisco-based clinical technology and services company that enables people to safely participate in clinical trials from the convenience of their own home.,Social Sciences,Sociology,none,none,"BA, Sociology (1992)",1992,not yet,,Medical,
Ness Computing,Corey Reese,2009,"makes search personal by applying its expertise in search, recommendations and social networking to human behavior.",Business,Business Administration,none,none,"BS, Business Administration (2007)",2007,yes,Acquired by OpenTable in 2014,Search,
Net2TV,Henry Choy,2012,"brings the full Web-media experience to TV, using Internet and On-demand infrastructure.",Engineering,Materials Science and Engineering,none,none,"BS, Materials Science and Engineering (1985)",1985,yes,Acquired by ActiveVideo,Consumer Web,
Neurala,Heather Versace,2006,"builds brains for bots. Neurala creates software that enables robots to move, work and learn among people.",Bio Sciences,Cognitive Science,none,none,"BA, Cognitive Science (2003)",2003,not yet,,Software,
Nulu,David Allison,2011,delivers language fluency as a service. Nulu addresses a global problem shared by 1.5 billion people: achieving English fluency.,Arts & Humanities,Linguistics,none,none,"BA, Linguistics (2007)",2007,not yet,,News/Media,
One Jackson,Yee Lee,2012,"is a crowd-sourced, indie design site for kids' clothing.",Engineering,Industrial Engineering and Operations Research,none,none,"BS, Industrial Engineering and Operations Research (1995)",1995,yes,Acquired by TaskRabbit in 2012,eCommerce,
ONeMedNET,Jeffrey Yu,2006,is a fully-secure on-demand electronic network for the point-to-point exchange of confidential medical information,Bio Sciences,Neurobiology,none,none,"BS, Neurobiology / Neurosciences (1989)",1989,not yet,,Medical,
Outline,Nikita Bier,2011,(formerly Politify) builds public policy simulators for city and state governments.,Business,Business Administration,none,none,"BS, Business Administration / BA, Political Economy (2012)",2012,not yet,,Analytics/Big Data,
Particle 5,Mark Thompson,2011,is an interactive TV & video advertising technology company.,unknown,unknown,unknown,unknown,(unknown area of study),,not yet,,Advertising,
Pathbrite,Heather Hiles,2012,"is an ed-tech company that makes course planning easier, student management more efficient, and teaching and learning more engaging.",Social Sciences,Development Studies,none,none,"BA, Development Studies (1991)",1991,not yet,,Education,
PayDivvy,Mike Melby,2009,is the first and only social bill pay solution (patent pending).,Social Sciences,Political Economy of Industrial Societies,none,none,"BA, Political Economy of Industrial Societies (2003)",2003,yes,Acquired by Higher One in 2013,Social Networking,
People Power,Gene Wang,2009,is the universal remote control for the Internet of Things.,Engineering,Computer Science,none,none,"BS, Computer Science",,not yet,,Consumer Web,
PillPack,Elliot Cohen,2013,"is pharmacy simplified. We fill, sort, and deliver all your medications in personalized packets based on when you need to take them.",Engineering,Computer Science,none,none,"BA, Computer Science / Cognitive Science (2005)",2005,not yet,,Medical,
Prism Skylabs,Michael Fogel,2011,"is the global leader in managing, analyzing, and optimizing offline commerce.",Math & Physical Sciences,Applied Mathematics,none,none,"BA, Applied Mathematics 
BA, Astrophysics & Physics (2005)",2005,not yet,,Enterprise,
PrivateCore,Steve Weis,2011,"is the global leader in managing, analyzing, and optimizing offline commerce.",Math & Physical Sciences,Applied Mathematics,none,none,"BS, Applied Mathematics; BA, Computer Science (2001)",2001,not yet,,Security,
Privateer Holdings,Brendan Kennedy,2011,believes in the power of private enterprise to effect positive change through skillful transformation of business in emergent markets.,Engineering,Architecture,none,none,"BA, Architecture (1994)",1994,not yet,,Finance/Venture,
Propeller,Clay Allsopp,2012,is a web platform to quickly create and update apps with an intuitive drag-and-drop interface.,Engineering,Electrical Engineering and Computer Science,none,none,"BS, Electrical Engineering and Computer Science (2010)",2010,not yet,,Consumer Web,
Punchd,Niket Desai,2011,is a mobile application that keeps loyalty cards on your phone.,Engineering,Industrial Engineering and Operations Research,none,none,"BS, Industrial Engineering and Operations Research (2009)",2009,yes,Acquired by Google in 2011,Mobile/Wireless,
Qualaroo,Alex Sherstinsky,2012,"is a hosted DIY toolset that enables marketers to target in-flow customer engagements such as conversion feedback questions, lead generation forms and promotions.",Engineering,Computer Science,none,none,"BS, Computer Science (1985)",1985,not yet,,Software,
RallyPoint Networks,Yinon Weiss,2012,is the leading professional network for what is perhaps the hardest-to-reach professional vertical in the US: the military.,Engineering,Bioengineering,none,none,"BS, Bioengineering (1999)",1999,not yet,,Social Networking,
Realty Mogul,Justin Hughes,2012,is crowdfunding for real estate. Realty Mogul is a marketplace for accredited investors to pool money online and buy shares of pre-vetted investment properties.,Bio Sciences,Cognitive Science,none,none,"BA, Cognitive Science (2007)",2007,not yet,,Real Estate,
